"meebit_id","creator_username","creator_address","owner_username","owner_address","traits","num_sales"
"2","N/A","0xc352b534e8b987e036a93539fd6897f53488e56a","meebz","0x3291463ccbac75a2f05aebdb989173314715a75f","[{""trait_type"":""Type"",""value"":""Human"",""display_type"":null,""max_value"":null,""trait_count"":18881,""order"":null},{""trait_type"":""Beard"",""value"":""Full"",""display_type"":null,""max_value"":null,""trait_count"":1449,""order"":null},{""trait_type"":""Shirt Color"",""value"":""Red"",""display_type"":null,""max_value"":null,""trait_count"":749,""order"":null},{""trait_type"":""Shoes"",""value"":""Canvas"",""display_type"":null,""max_value"":null,""trait_count"":3808,""order"":null},{""trait_type"":""Shirt"",""value"":""Hoodie"",""display_type"":null,""max_value"":null,""trait_count"":2107,""order"":null},{""trait_type"":""Hair Style"",""value"":""Simple"",""display_type"":null,""max_value"":null,""trait_count"":2570,""order"":null},{""trait_type"":""Hat Color"",""value"":""Red"",""display_type"":null,""max_value"":null,""trait_count"":236,""order"":null},{""trait_type"":""Pants"",""value"":""Ripped Jeans"",""display_type"":null,""max_value"":null,""trait_count"":1948,""order"":null},{""trait_type"":""Shoes Color"",""value"":""White"",""display_type"":null,""max_value"":null,""trait_count"":2198,""order"":null},{""trait_type"":""Hat"",""value"":""Trucker Cap"",""display_type"":null,""max_value"":null,""trait_count"":328,""order"":null},{""trait_type"":""Hair Color"",""value"":""Silver"",""display_type"":null,""max_value"":null,""trait_count"":290,""order"":null},{""trait_type"":""Beard Color"",""value"":""Silver"",""display_type"":null,""max_value"":null,""trait_count"":72,""order"":null}]",0
"1","N/A","0xc352b534e8b987e036a93539fd6897f53488e56a","N/A","0xaf4e597f6557b285758f9a6eb583e1808fae8388","[{""trait_type"":""Type"",""value"":""Human"",""display_type"":null,""max_value"":null,""trait_count"":18881,""order"":null},{""trait_type"":""Hat Color"",""value"":""Gray"",""display_type"":null,""max_value"":null,""trait_count"":863,""order"":null},{""trait_type"":""Pants Color"",""value"":""Camo"",""display_type"":null,""max_value"":null,""trait_count"":3210,""order"":null},{""trait_type"":""Hair Style"",""value"":""Bald"",""display_type"":null,""max_value"":null,""trait_count"":1752,""order"":null},{""trait_type"":""Pants"",""value"":""Cargo Pants"",""display_type"":null,""max_value"":null,""trait_count"":2868,""order"":null},{""trait_type"":""Hat"",""value"":""Backwards Cap"",""display_type"":null,""max_value"":null,""trait_count"":664,""order"":null},{""trait_type"":""Shirt"",""value"":""Skull Tee"",""display_type"":null,""max_value"":null,""trait_count"":1972,""order"":null},{""trait_type"":""Shoes"",""value"":""Workboots"",""display_type"":null,""max_value"":null,""trait_count"":1590,""order"":null},{""trait_type"":""Overshirt"",""value"":""Athletic Jacket"",""display_type"":null,""max_value"":null,""trait_count"":503,""order"":null},{""trait_type"":""Overshirt Color"",""value"":""Red"",""display_type"":null,""max_value"":null,""trait_count"":165,""order"":null}]",0
